차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
현대 아반떼 (CN7) 가솔린 1.6 모던,"2,090만원",22년 1월식,"16,276km",가솔린,,쥐색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 아머 VX 2WD,"1,160만원",18년 2월식,"33,607km",가솔린,,흰색,"1,597cc",0,단순수리,1,0,0,1,0,0,0,1
현대 LF 쏘나타 2.0 스마트 세부등급 없음,"1,220만원",14년 5월식(15년형),"65,758km",가솔린,,은회색,"1,999cc",0,단순수리,1,1,1,1,0,0,0,0
기아 모닝 어반 가솔린 1.0 베스트 셀렉션,"1,220만원",22년 2월식,"12,644km",가솔린,,진주색,998cc,0,무사고,1,0,0,1,0,0,0,1
기아 쏘울 1.6 4U 코스모,560만원,11년 1월식,"92,937km",가솔린,,진주색,"1,591cc",0,사고,1,0,1,1,0,0,0,1
르노코리아(삼성) QM3 RE 시그니처,830만원,15년 5월식,"53,797km",디젤,,빨간색,"1,461cc",0,무사고,1,0,1,1,0,0,0,1
현대 에쿠스(신형) VS380 럭셔리,"1,130만원",12년 6월식,"108,278km",가솔린,,검정색,"3,778cc",0,단순수리,1,0,1,1,0,0,0,0
현대 그랜저 IG 하이브리드 프리미엄,"2,470만원",19년 10월식,"54,292km",가솔린+전기,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) 클리오 인텐스 파노라믹,930만원,19년 8월식,"66,383km",디젤,,흰색,"1,461cc",0,단순수리,1,0,1,1,0,0,0,0
현대 그랜저 HG 하이브리드 프리미엄,890만원,14년 2월식,"167,561km",가솔린+전기,,청색,"2,359cc",0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 카니발 9인승 프레스티지,"1,490만원",16년 7월식(17년형),"131,965km",디젤,,검정색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 K3 트렌디 스타일,"1,190만원",17년 9월식(18년형),"63,123km",가솔린,,은색,"1,591cc",0,무사고,1,0,1,1,0,0,0,1
쉐보레(GM대우) 더 뉴 트랙스 1.4 퍼펙트 블랙,"1,430만원",17년 4월식,"20,241km",가솔린,,검정색,"1,362cc",0,무사고,1,0,0,1,0,0,0,1
기아 모하비 4WD KV300 세부등급 없음,"1,590만원",14년 5월식,"118,963km",디젤,,검정색,"2,959cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,410만원",22년 3월식,"22,790km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,0
현대 그랜저 IG 3.0 프리미엄,"1,680만원",19년 3월식,"125,716km",가솔린,,흰색,"2,999cc",0,단순수리,1,0,1,1,0,0,0,0
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 4WD 시그니처,"3,990만원",20년 4월식(21년형),"34,534km",가솔린+전기,,진주색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 1.6 터보 프리미엄 패밀리,"2,270만원",21년 4월식,"25,310km",가솔린,,쥐색,"1,598cc",0,단순수리,1,1,1,1,0,0,0,0
BMW X3 (G01) xDrive 20d M 스포츠,"3,880만원",19년 3월식,"92,579km",디젤,,청색,"1,995cc",0,무사고,1,0,1,1,0,0,0,0
현대 그랜저 IG 3.0 프리미엄,"1,670만원",19년 5월식,"108,631km",가솔린,,검정색,"2,999cc",0,사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,"2,190만원",21년 1월식,"81,402km",가솔린+전기,,검정색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 K7 3.0 LPI 럭셔리,"1,390만원",19년 4월식,"106,586km",LPG,,검정색,"2,999cc",0,단순수리,1,1,1,1,0,0,0,0
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 프리미엄,"2,260만원",19년 1월식,"16,000km",가솔린,,쥐색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,"2,280만원",20년 2월식,"96,172km",가솔린,,검정색,"2,497cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 K9 2세대 3.8 GDI AWD 마스터즈,"5,080만원",22년 3월식,"25,977km",가솔린,,검정색,"3,778cc",0,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 모닝 (JA) 밴 고급형,620만원,18년 7월식,"46,253km",가솔린,,흰색,998cc,0,무사고,0,0,0,0,0,0,0,0
현대 더 뉴 아반떼 AD 1.6 스마트 초이스,"1,490만원",20년 1월식,"40,314km",가솔린,,흰색,"1,598cc",0,무사고,1,0,1,1,0,0,0,1
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,"3,550만원",20년 4월식,"68,517km",가솔린,,흰색,"1,991cc",0,무사고,1,0,0,1,0,0,0,0
현대 올 뉴 투싼 TL 디젤 1.6 2WD 모던,"1,640만원",19년 2월식,"89,869km",디젤,,갈색,"1,598cc",0,단순수리,1,0,1,1,0,0,0,0
기아 레이 럭셔리,680만원,12년 2월식,"95,434km",가솔린,,하늘색,998cc,0,단순수리,1,0,0,0,0,0,0,1
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"1,510만원",17년 3월식,"111,737km",가솔린,,쥐색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
기아 봉고III 트럭 CRDi 카고 1톤 초장축 킹캡 프레스티지,"1,150만원",19년 2월식,"113,806km",디젤,,흰색,"2,497cc",0,사고,1,0,1,0,0,0,0,1
BMW 5시리즈 GT (F07) GT ED Edition 럭셔리,"2,320만원",17년 1월식,"117,169km",디젤,,쥐색,"1,995cc",0,무사고,1,0,1,1,0,0,0,0
현대 더 뉴 아반떼 AD 1.6 스마트,"1,390만원",19년 1월식,"63,306km",가솔린,,흰색,"1,598cc",0,단순수리,1,0,1,1,0,0,0,0
기아 K5 3세대 가솔린 2.0 노블레스,"2,200만원",21년 3월식,"47,823km",가솔린,,흰색,"1,999cc",0,사고,1,1,1,1,0,0,0,0
기아 더 뉴 카렌스 1.7 VGT 프레스티지,940만원,17년 11월식(18년형),"115,629km",디젤,,은색,"1,685cc",0,무사고,1,1,1,1,0,0,0,0
제네시스 G90 가솔린 4WD 3.8 프리미엄 럭셔리,"4,350만원",19년 5월식,"88,899km",가솔린,,청색,"3,778cc",0,무사고,1,1,1,0,0,0,0,0
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 인스퍼레이션,"2,290만원",20년 7월식,"72,164km",가솔린,,흰색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
포드 익스플로러 6세대 가솔린 4WD 3.0 플래티넘,"4,890만원",22년 12월식,"11,304km",가솔린,,청색,"2,956cc",0,무사고,1,1,0,1,0,0,0,0
현대 더 뉴 맥스크루즈 디젤 2.2 4WD 파이니스트 에디션,"2,320만원",17년 9월식(18년형),"53,856km",디젤,,청색,"2,199cc",0,단순수리,1,1,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 럭셔리,790만원,17년 8월식,"35,341km",가솔린,,은색,998cc,0,무사고,1,0,0,1,0,0,0,1
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,"3,380만원",20년 7월식(21년형),"22,372km",디젤,,흰색,"2,151cc",0,단순수리,1,1,1,0,0,0,0,0
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 5인승,"2,990만원",20년 5월식(21년형),"64,475km",디젤,,흰색,"2,959cc",0,사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 말리부 2.0 LTZ 디럭스팩(블랙휠),800만원,15년 11월식,"94,133km",가솔린,,검정색,"1,998cc",0,무사고,1,0,0,1,0,0,0,0
기아 올 뉴 쏘렌토 디젤 2.0 4WD 프레스티지,"1,510만원",16년 5월식,"110,124km",디젤,,검정색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),"2,990만원",19년 8월식,"53,108km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 LX 2WD 세부등급 없음,"1,190만원",17년 1월식,"75,856km",가솔린,,흰색,"1,597cc",0,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 프리미엄 세이프티,"1,150만원",16년 6월식(17년형),"99,003km",가솔린,,청색,"1,490cc",0,단순수리,1,1,0,1,0,0,0,0
제네시스 G70 2.0T 슈프림,"2,450만원",18년 6월식,"25,659km",가솔린,,쥐색,"1,998cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 헤리티지 스폐셜,"2,470만원",20년 5월식,"68,543km",디젤,,검정색,"2,157cc",0,무사고,1,1,1,1,0,0,0,0
지프 레니게이드 2.0 디젤 리미티드 하이 AWD,"1,850만원",19년 6월식,"61,257km",디젤,,주황색,"1,956cc",0,단순수리,1,0,1,1,0,0,0,0
기아 더 뉴 니로 럭셔리,"1,920만원",19년 6월식(20년형),"36,078km",가솔린+전기,,흰색,"1,580cc",0,무사고,1,0,0,1,0,0,0,1
현대 LF 쏘나타 2.0 스마트 세부등급 없음,"1,350만원",15년 6월식,"74,894km",가솔린,,흰색,"1,999cc",0,무사고,1,0,1,1,0,0,0,1
현대 쏘나타 DN8 2.0 LPi 프리미엄 플러스,"2,340만원",22년 2월식,"37,119km",LPG,,쥐색,"1,999cc",0,사고,1,1,1,1,0,0,0,0
현대 아반떼 (CN7) 가솔린 1.6 모던,"2,180만원",22년 1월식,"24,104km",가솔린,,흰색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
아우디 A4 (B9) 40 TFSI,"3,150만원",21년 10월식,"30,537km",가솔린,,흰색,"1,984cc",0,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 스파크 스파크 S LT,460만원,13년 6월식(14년형),"76,987km",가솔린,,검정색,995cc,0,무사고,1,0,0,0,0,0,0,1
현대 i30(신형) 디젤 1.6 VGT 익스트림,770만원,12년 12월식,"67,140km",디젤,,흰색,"1,582cc",0,사고,1,0,1,1,0,0,0,1
KG모빌리티(쌍용) 티볼리 LX 2WD 최고급형,"1,070만원",15년 7월식(16년형),"60,929km",가솔린,,청색,"1,597cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 K5 3세대 가솔린 터보 1.6 시그니처,"3,450만원",24년 1월식,"2,568km",가솔린,,흰색,"1,598cc",0,무사고,1,1,1,0,0,0,0,0
현대 투싼 (4세대) 2.0 디젤 인스퍼레이션,"3,040만원",22년 3월식,"37,560km",디젤,,진주색,"1,998cc",0,무사고,1,1,1,1,0,0,0,0
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,"2,830만원",19년 3월식,"51,822km",가솔린+전기,,검정색,"2,359cc",0,사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 3.3 프리미엄 초이스,"2,300만원",20년 3월식,"81,739km",가솔린,,검정색,"3,342cc",0,무사고,1,1,1,0,0,0,0,0
현대 그랜저 HG 하이브리드 프리미엄,"1,290만원",14년 4월식,"122,281km",가솔린+전기,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
현대 투싼 (4세대) 2.0 디젤 인스퍼레이션,"2,890만원",21년 4월식,"36,661km",디젤,,쥐색,"1,998cc",0,무사고,1,1,1,0,0,0,0,0
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브 스페셜,"2,020만원",18년 5월식(19년형),"82,439km",디젤,,쥐색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
기아 K5 3세대 LPG 2.0 (일반인판매용) 시그니처,"2,890만원",22년 10월식(23년형),"6,172km",LPG,,검정색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 디 올 뉴 니로 EV 어스,"3,290만원",22년 9월식(23년형),"35,615km",전기,,흰색,180cc,0,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 카니발 9인승 럭셔리,"1,360만원",15년 4월식(16년형),"90,430km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
제네시스 GV70 가솔린 터보 2.5 2WD,"5,430만원",23년 5월식,"7,038km",가솔린,,흰색,"2,497cc",0,무사고,1,1,1,0,0,0,0,0
기아 스토닉 1.4 가솔린 디럭스,"1,080만원",18년 9월식(19년형),"98,302km",가솔린,,흰색,"1,368cc",0,단순수리,1,0,0,0,0,0,0,1
BMW 5시리즈 (F10) 520d M 에어로 다이나믹,"1,890만원",15년 11월식(16년형),"75,253km",디젤,,검정색,"1,995cc",0,무사고,1,0,1,1,0,0,0,0
기아 스토닉 1.6 디젤 디럭스,880만원,18년 1월식,"109,800km",디젤,,흰색,"1,582cc",0,무사고,0,0,0,0,0,0,0,0
기아 더 뉴 카니발 9인승 노블레스,"2,190만원",19년 1월식,"81,290km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 K5 2세대 LPI MX 럭셔리,920만원,16년 8월식,"117,607km",LPG,,흰색,"1,999cc",0,단순수리,0,0,1,0,0,0,0,1
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),"3,250만원",21년 3월식,"50,303km",디젤,,쥐색,"2,199cc",0,무사고,1,1,1,0,0,0,0,0
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 프레스티지,"3,750만원",22년 8월식,"1,753km",가솔린+전기,,흰색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,"2,070만원",21년 3월식(22년형),"31,990km",가솔린,,쥐색,"1,341cc",0,무사고,1,1,0,1,0,0,0,0
기아 스포티지 더 볼드 디젤 2.0 2WD 트렌디,"1,630만원",20년 11월식(21년형),"54,680km",디젤,,은색,"1,995cc",0,단순수리,1,0,1,1,0,0,0,0
현대 더 뉴 아반떼 AD 1.6 법인전용,"1,220만원",19년 2월식,"48,988km",가솔린,,흰색,"1,598cc",0,무사고,1,0,0,1,0,0,0,0
테슬라 모델 3 롱 레인지,"4,790만원",22년 3월식,"23,896km",전기,,흰색,236cc,0,무사고,1,0,1,1,0,0,0,0
르노코리아(삼성) 클리오 인텐스 파노라믹,"1,040만원",19년 8월식,"45,925km",디젤,,빨간색,"1,461cc",0,무사고,1,0,1,1,0,0,0,0
기아 K5 3세대 LPG 2.0 (일반인판매용) 시그니처,"2,480만원",20년 5월식,"23,810km",LPG,,쥐색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 모닝 럭셔리,770만원,16년 11월식,"32,591km",가솔린,,쥐색,998cc,0,단순수리,1,0,0,1,0,0,0,1
기아 카니발 (4세대) 가솔린 3.5 (7인승) 시그니처,"4,120만원",22년 11월식(23년형),"19,562km",가솔린,,흰색,"3,470cc",0,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 K7 2.4 GDI 프레스티지,"1,360만원",17년 4월식,"99,410km",가솔린,,쥐색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 K7 하이브리드 노블레스 스페셜,"2,150만원",19년 8월식,"116,067km",가솔린+전기,,쥐색,"2,359cc",0,단순수리,1,1,1,0,0,0,0,0
벤츠 A-클래스 W177 가솔린 2WD A220 세단,"2,490만원",20년 2월식,"24,472km",가솔린,,흰색,"1,991cc",0,무사고,1,0,0,1,0,0,0,0
현대 벨로스터 익스트림,610만원,11년 5월식(12년형),"87,126km",가솔린,,흰색,"1,591cc",0,단순수리,1,0,1,1,0,0,0,1
기아 올 뉴 모닝 럭셔리,590만원,14년 6월식(15년형),"106,260km",가솔린,,쥐색,998cc,0,단순수리,1,0,1,1,0,0,0,1
현대 더 뉴 싼타페 가솔린 2.5 4WD 프레스티지,"3,220만원",23년 4월식,"14,368km",가솔린,,쥐색,"2,497cc",0,단순수리,1,1,1,1,0,0,0,0
닛산 알티마 2.5 SL 스마트 L33,990만원,17년 5월식,"94,257km",가솔린,,쥐색,"2,488cc",0,단순수리,1,0,1,1,0,0,0,1
BMW 3시리즈 (G20) 디젤 2WD 320d 럭셔리,"2,780만원",19년 7월식,"75,950km",디젤,,은색,"1,995cc",0,무사고,1,0,1,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 인스퍼레이션,"2,580만원",20년 10월식(21년형),"66,802km",가솔린+전기,,쥐색,"1,999cc",0,단순수리,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 프리미엄,"1,590만원",19년 6월식(20년형),"99,645km",가솔린,,쥐색,"1,999cc",0,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 니로 프레스티지,"2,040만원",20년 1월식,"55,691km",가솔린+전기,,쥐색,"1,580cc",0,사고,1,1,1,1,0,0,0,0
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,"2,230만원",21년 2월식(22년형),"40,932km",가솔린,,쥐색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 뉴 라이즈 LPI 스타일,"1,330만원",19년 3월식,"52,789km",LPG,,흰색,"1,999cc",0,무사고,0,0,0,0,0,0,0,1
현대 그랜저 IG 3.0 익스클루시브 세부등급 없음,"1,680만원",18년 4월식,"131,046km",가솔린,,쥐색,"2,999cc",0,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,390만원",19년 5월식,"13,503km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 카니발 9인승 럭셔리,"1,580만원",18년 12월식(19년형),"107,396km",디젤,,검정색,"2,199cc",0,단순수리,1,1,1,1,0,0,0,0
기아 K8 LPG 3.5 (렌터카) 트렌디,"2,970만원",22년 10월식(23년형),"15,498km",LPG,,검정색,"3,470cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 4WD R-플러스,"2,230만원",21년 12월식(22년형),"24,798km",가솔린,,흰색,"1,497cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 프리미엄 패밀리,"1,680만원",19년 9월식(20년형),"60,774km",가솔린,,빨간색,"1,999cc",0,사고,1,1,1,1,0,0,0,0
기아 올 뉴 K7 2.4 GDI  노블레스,"1,950만원",19년 6월식,"58,656km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
현대 그랜저 뉴 럭셔리 Q270 디럭스,530만원,08년 8월식(09년형),"44,022km",가솔린,,검정색,"2,656cc",0,무사고,1,0,0,0,0,0,0,1
현대 스타리아 디젤 2.2 카고 5인승 모던,"2,790만원",22년 1월식,"33,765km",디젤,,쥐색,"2,199cc",0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 K7 2.4 GDI 프레스티지,"1,430만원",16년 5월식,"122,339km",가솔린,,흰색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
현대 제네시스 DH G330 프리미엄 AWD,"2,090만원",16년 6월식,"51,996km",가솔린,,청색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
현대 올 뉴 투싼 TL 디젤 1.6 2WD 모던,"1,440만원",19년 2월식,"129,576km",디젤,,흰색,"1,598cc",0,단순수리,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 LX 2WD 고급형,980만원,15년 7월식,"77,262km",가솔린,,청색,"1,597cc",0,무사고,1,1,0,1,0,0,0,1
KG모빌리티(쌍용) 더 뉴 코란도 스포츠 2.2 익스트림 4WD,"1,430만원",17년 9월식(18년형),"56,173km",디젤,,쥐색,"2,157cc",0,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 레이 시그니처,"1,490만원",21년 4월식,"18,375km",가솔린,,검정색,998cc,0,무사고,1,0,1,1,0,0,0,0
기아 더 K9 3.3 T-GDI AWD 그랜드 마스터즈,"3,050만원",18년 4월식(19년형),"134,833km",가솔린,,쥐색,"3,342cc",0,단순수리,1,1,1,0,0,0,0,0
기아 니로 프레스티지,"1,540만원",17년 5월식,"102,734km",가솔린+전기,,흰색,"1,580cc",0,무사고,1,1,1,1,0,0,0,0
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,"3,420만원",20년 10월식(21년형),"60,682km",디젤,,검정색,"2,151cc",0,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 레이 시그니처,"1,530만원",21년 5월식,"12,473km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,1
기아 셀토스 디젤 1.6 2WD 노블레스,"1,990만원",20년 1월식,"81,028km",디젤,,흰색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) 뉴SM5 플래티넘 1.6 TCE S/S 컬렉션,780만원,14년 8월식,"51,350km",가솔린,,검정색,"1,618cc",0,단순수리,1,0,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 프레스티지,"1,000만원",20년 2월식,"43,014km",가솔린,,검정색,998cc,0,단순수리,1,0,1,1,0,0,0,0
현대 i30 (PD) 1.6 터보 N Line,"1,960만원",20년 2월식,"41,993km",가솔린,,청색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처,"3,350만원",20년 5월식(21년형),"90,207km",가솔린+전기,,쥐색,"1,598cc",0,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 스파크 LS 스타,410만원,13년 2월식,"65,709km",가솔린,,분홍색,995cc,0,무사고,1,0,1,0,0,0,0,1
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (8인승),"3,490만원",21년 11월식(22년형),"13,903km",가솔린,,검정색,"3,778cc",0,무사고,1,1,1,0,0,0,0,0
제네시스 G70 2.0T AWD 슈프림,"2,250만원",18년 1월식,"89,546km",가솔린,,검정색,"1,998cc",0,단순수리,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,"2,090만원",21년 1월식,"94,718km",가솔린+전기,,검정색,"1,999cc",0,단순수리,1,1,1,1,0,0,0,0
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,"3,720만원",21년 4월식,"37,546km",디젤,,진주색,"2,151cc",0,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 니로 프레스티지,"2,150만원",20년 8월식,"56,429km",가솔린+전기,,흰색,"1,580cc",0,무사고,1,0,1,1,0,0,0,0
기아 스팅어 마이스터 3.3 터보 2WD 마스터즈 터보 패키지,"3,160만원",21년 2월식,"45,265km",가솔린,,쥐색,"3,342cc",0,단순수리,1,1,1,0,0,0,0,0
현대 쏘나타 DN8 하이브리드 인스퍼레이션,"2,590만원",19년 10월식(20년형),"64,873km",가솔린+전기,,흰색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 프리미엄 패밀리,"1,870만원",19년 5월식(20년형),"82,526km",가솔린,,검정색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 카니발 9인승 럭셔리,"1,370만원",16년 4월식,"85,686km",디젤,,쥐색,"2,199cc",0,단순수리,1,1,1,1,0,0,0,0
현대 더 뉴 맥스크루즈 디젤 2.2 4WD 파이니스트 에디션,"1,760만원",16년 6월식(17년형),"152,178km",디젤,,흰색,"2,199cc",0,무사고,1,0,1,1,0,0,0,0
현대 LF 쏘나타 2.4 스타일,920만원,14년 12월식(15년형),"75,339km",가솔린,,은색,"2,359cc",0,단순수리,1,0,1,0,0,0,0,1
벤츠 E-클래스 W212 E220 블루텍 아방가르드 스포츠,"1,640만원",15년 11월식(16년형),"105,817km",디젤,,흰색,"2,143cc",0,무사고,1,0,0,1,0,0,0,0
현대 제네시스 BH330 프리미엄 기본형,"1,070만원",12년 6월식(13년형),"103,981km",가솔린,,검정색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
기아 셀토스 디젤 1.6 4WD 노블레스,"2,290만원",20년 1월식,"62,509km",디젤,,흰색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 봉고III 트럭 EV 카고 1톤 2WD 초장축 킹캡 GLS,"1,930만원",21년 11월식,"29,890km",전기,,흰색,180cc,0,무사고,1,1,0,1,0,0,0,0
기아 더 뉴 K5 2세대 2.0 LPI 렌터카 프레스티지,"1,420만원",19년 2월식,"79,678km",LPG,,검정색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,"1,620만원",22년 1월식,"17,897km",가솔린,,흰색,998cc,0,단순수리,1,1,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 프레스티지,930만원,18년 2월식,"49,646km",가솔린,,쥐색,998cc,0,무사고,1,0,1,1,0,0,0,0
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,"3,480만원",21년 10월식(22년형),"11,413km",디젤,,갈색,"2,151cc",0,단순수리,1,1,1,1,0,0,0,0
르노코리아(삼성) 뉴 QM6 LPG 2.0 (일반인 판매용) RE 시그니처,"2,450만원",21년 3월식,"24,697km",LPG,,흰색,"1,998cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 9인승 프레스티지,"1,960만원",19년 9월식(20년형),"87,492km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"1,860만원",19년 8월식,"99,426km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) QM6 디젤 2WD RE 시그니처,"1,760만원",19년 8월식,"54,529km",디젤,,흰색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
현대 코나 디젤 1.6 2WD 프리미엄,"1,390만원",20년 1월식,"135,973km",디젤,,흰색,"1,598cc",0,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 7인승 리무진 프레지던트,"2,450만원",19년 6월식,"85,691km",디젤,,검정색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 카니발 7인승 리무진 VIP,"2,190만원",17년 11월식(18년형),"79,106km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
